,Year,Month,Activity,Type,Fatal
390,1894,Sep,Dangling feet in the water,Unprovoked,0
391,1894,Sep,Fishing,Provoked,0
392,1895,Apr,"""Crossing the river""",Unprovoked,1
393,1895,Apr,Swimming,Unprovoked,0
394,1895,Aug,Fishing,Unprovoked,0
395,1895,Aug,Swimming,Unprovoked,1
396,1895,Dec,Bathing,Unprovoked,1
397,1895,Feb,Swimming,Unprovoked,1
398,1895,Feb,"Swimming, after sailboat capsized",Unprovoked,1
399,1895,Jul,Hunting seals,Unprovoked,1
400,1895,Jun,Diving,Unprovoked,0
401,1895,Jun,Pearl diving,Unprovoked,1
402,1895,Mar,Swimming,Unprovoked,1
403,1895,Mar,Swimming,Unprovoked,0
404,1895,May,"""Boat accident""",Unprovoked,1
405,1895,May,Sea Disaster : Wreck of the Carrie E. Long,Unprovoked,0
406,1895,Nov,Diving for coins,Unprovoked,0
407,1895,Nov,Fishing,Unprovoked,1
408,1895,Sep,Diving for coins,Unprovoked,1
409,1895,Sep,Fishing,Provoked,0
410,1896,Dec,Bathing,Unprovoked,1
411,1896,Jan,Bathing,Unprovoked,1
412,1896,Jul,Fishing,Unprovoked,1
413,1896,Jun,Bathing,Unprovoked,0
414,1896,Nov,Boat swamped,Unprovoked,1
415,1896,Nov,Swimming,Unprovoked,1
416,1896,Sep,Diving,Unprovoked,0
417,1896,Unknown,"Swimming ashore from a ""filibuster""",Unprovoked,1
418,1896,Unknown,Wading,Unprovoked,0
419,1897,Dec,Angling,Provoked,0
420,1897,Jul,Wading after stray fish from seine netterÂs catch,Unprovoked,1
421,1897,Jun,Wreck of the steamship Sultan of Bombay,Unprovoked,1
422,1897,Mar,Fishing,Unprovoked,1
423,1897,Mar,Swimming,Unprovoked,1
424,1897,Oct,Fishing,Unprovoked,1
425,1897,Sep,Fishing,Provoked,0
426,1897,Sep,Standing,Unprovoked,0
427,1898,Apr,The cutter Francis Adams foundered,Unprovoked,0
428,1898,Aug,Swimming,Unprovoked,0
429,1898,Dec,Fell oveboard,Unprovoked,1
430,1898,Jul,Standing,Unprovoked,1
431,1898,Jul,Swimming,Unprovoked,1
432,1898,Jul,Swimming at side of small boat,Unprovoked,1
433,1898,Jun,boat from City of Naples capsized,Unprovoked,1
434,1898,Oct,Jumped overboard,Unprovoked,1
435,1898,Sep,Diving,Unprovoked,0
436,1898,Sep,Diving,Unprovoked,0
437,1898,Sep,Fell overboard,Unprovoked,1
438,1898,Unknown,Attempting to escape by swimming to shore,Unprovoked,1
439,1898,Unknown,Fishing (Seining),Unprovoked,0
440,1898,Unknown,Loss of the schooner Nomad,Unprovoked,1
441,1898,Unknown,Trailing hand in the water,Unprovoked,0
442,1898,of,Diving for coins,Unprovoked,1
443,1899,,Hunting crayfish,Unprovoked,0
444,1899,Aug,Bathing,Unprovoked,0
445,1899,Aug,Bathing,Unprovoked,0
446,1899,Aug,Floating on his back,Unprovoked,0
447,1899,Aug,Hunting sharks,Provoked,1
448,1899,Aug,Swimming,Unprovoked,1
449,1899,Dec,Fell into the water,Unprovoked,0
450,1899,Jul,Fell overboard ,Unprovoked,1
451,1899,Jun,Fishing,Provoked,0
452,1899,May,Bathing,Unprovoked,1
453,1899,Nov,Sea Disaster,Unprovoked,1
454,1899,Oct,Diving,Unprovoked,0
455,1899,Oct,Fishing for squid,Unprovoked,0
456,1899,Oct,Sponge diving,Unprovoked,1
457,1899,Sep,Swimming,Unprovoked,1
458,1899,Unknown,Rowing,Unprovoked,0
459,19,07,Fishing,Provoked,0
460,1900,,Swimming,Unprovoked,0
461,1900,Aug,Bathing,Unprovoked,0
462,1900,Dec,Bathing,Unprovoked,1
463,1900,Jan,"Standing, gathering oysters",Unprovoked,0
464,1900,Jul, ,Provoked,0
465,1900,Jul,Swimming,Unprovoked,1
466,1900,Nov,Swimming,Unprovoked,1
467,1900,Sep,Floating,Unprovoked,0
468,1900,Sep,Swimming,Unprovoked,0
469,1901,Dec,Bathing,Unprovoked,0
470,1901,Jan,Bathing,Unprovoked,1
471,1901,Jul,Swimming,Unprovoked,1
472,1901,Jun,Swimming,Unprovoked,0
