attack_date,Country,Area,Location,Activity,Gender,Fatal_Y/N
1999-12-14,USA,California,"Off Ventura, Anacapa & Santa Cruz Islands",Scuba diving,M,Unknown
1999-12-26,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,N
1999-12-31,NEW ZEALAND,South Island,Oreti Beach,Bathing,F,N
1999-12-31,NEW ZEALAND,South Island,Oreti Beach,Swimming,F,N
1999-12-31,NEW ZEALAND,South Island,Oreti Beach,Surfing,M,N
1999-08-05,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,N
1999-10-30,USA,Florida,"Daytona Beach, Volusia County",Body boarding,M,N
1999-08-05,BAHAMAS,Abaco Islands,Grand Cay,Spearfishing & holding catch,M,N
1999-09-04,USA,Florida,"World Typhoon Lagoon, Disney Water Park, Orange County",Wading,M,N
1999-07-26,USA,Florida,"Two miles off Key Colony Beach, Monroe County",Swimming with dolphins,M,N
1999-03-14,NEW CALEDONIA,Loyalty Islands,Ouvea,Spearfishing,M,N
1999-03-14,NEW ZEALAND,Unknown,Unknown,Fishing,M,N
1999-03-08,USA,Hawaii,"Kealia Beach, Kaua'i",Body surfing or body boarding,M,N
1999-03-05,USA,Hawaii,"Quarter mile offshore in Kaanapali, West Maui",Swimming near pod of whales,F,N
1999-02-26,USA,North Carolina,Frying Pan Shoals,Cruising,Unknown,N
1999-02-23,AUSTRALIA,New South Wales,Scotts Head,Surfing,M,N
1999-03-18,USA,Hawaii,"Olowalu side of Lahina, Maui ","Swimming, towing a kayak",F,Y
1999-02-03,USA,Florida,"Hobe Sound, Martin County",Surfing,M,N
1999-01-01,USA,Virginia,"Sandridge Beach, Virginia Beach, Princess Anne County",Body surfing,M,Unknown
1999-01-07,NEW ZEALAND,North Island,"Papamoa, near Tauranga, Bay of Plenty",Inflatable boat,Unknown,N
1999-01-03,AUSTRALIA,Northern Territory,Gulf of Carpenteria,Fishing,F,Unknown
1999-01-03,REUNION,Saint-Leu,Pointe au Sel,Spearfishing,Unknown,Y
1999-01-01,SOUTH AFRICA,Western Cape Province,"Hospital Rock, Dyers Island",Spearfishing,M,N
1999-07-29,SOUTH AFRICA,Western Cape Province,Kogebaai,Surfing,M,N
1999-01-29,MAURITIUS,Unknown,Belle-Mare,Spearfishing,M,N
1999-03-18,BRAZIL,Rio Grande de Norte,Atol das Rochas,Scientific research (Dr. Sonny Gruber's student),M,N
1999-01-13,SOUTH AFRICA,Eastern Cape Province,Bonza Beach,Paddle Skiing,M,N
1999-04-01,USA,Florida,"Hobe Sound Beach, Palm Beach County",Surfing,M,N
1999-07-21,USA,Hawaii,Honoli'i in Hilo (west side of Big Island),Surfing,M,N
1999-03-18,NEW ZEALAND,South Island,Codfish Island (Whenua Hau) west of Stewart Island,Spearfishing & diving for paua,M,N
1999-07-15,SOUTH AFRICA,Western Cape Province,Buffels Bay (near Knysna),Boogie boarding,M,Y
1999-07-04,USA,Florida,"Pensacola  Beach, Escambia County",Wading in school of baitfish,F,N
1999-07-03,SOUTH AFRICA,Eastern Cape Province,"Cintsa East, East London",Surfing,M,N
1999-06-19,USA,Florida,"11 miles off Dog Island in the Gulf of Mexico, Franklin County",Adrift in a life jacket,M,N
1999-07-06,USA,South Carolina,Charleston,Unknown,M,N
1999-06-12,USA,Florida,"Atlantiic Beach, Duval County",Swimming,M,N
1999-06-09,USA,Florida,"Atlantic Dunes Park, Delray Beach, Palm Beach County",Splashing / wading,M,N
1999-05-29,AUSTRALIA,South Australia,"Hardwicke Bay, Yorke Peninsula",Windsurfing,M,Y
1999-04-11,REUNION,L' Etang Sal�-les-Bains,Roche-aux-Oiseaux,Swimming after being swept into sea by a large wave,M,Y
1999-05-01,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,N
1999-06-17,USA,Florida,"South of Ponce Inlet, Volusia County",Surfing,M,N
1999-04-22,MAURITIUS,Grand Baie,Pointe aux Canonniers,Swimming,F,N
2010-09-18,AUSTRALIA,New South Wales,Wollongong,Fell onto dead shark,M,N
2010-09-10,SOUTH AFRICA,Western Cape Province,Dyer Island,Free diving,M,N
2010-09-10,USA,Florida,"Vero Beach, Indian River County",Swimming,M,N
2010-09-11,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming / Body surfing,M,N
2010-09-15,USA,Florida,"Fort Pierce Inlet, St Lucie County",Standing / surfing,M,N
2010-09-16,USA,South Carolina,"Isle of Palms, Charleston County",Unknown,Unknown,N
2010-09-16,OKINAWA,Miyako Island,Sunayama Beach,Surfing,M,Y
2010-09-08,TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam (Reported as the 5th fatality in 3 months at Coco Beach)",Swimming,M,Y
2010-09-12,USA,Florida,"Sebastian Inlet, Indian River or Brevard County",Surfing,F,N
2010-09-08,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,N
2010-08-15,USA,Hawaii,"Kanaha Beach, Maui","Windsurfing, but sitting on his board",M,N
2010-09-01,TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam",Swimming,Unknown,Y
2010-08-31,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,M,N
2010-08-30,USA,Florida,"Boca Ciega Bay, Tampa, Pinellas County",Jumped into the water,M,Y
2010-08-27,USA,Alaska,Prince William Sound,Conducting research,M,N
2010-08-21,USA,North Carolina,"Bouges Bank, Emerald Isle, Carteret County",Swimming out to porpoises ,M,N
2010-08-13,USA,Florida,"South Jacksonville Beach, Duval County",Surfing / Wading,M,N
2010-08-12,USA,Florida,"St. Augustine, St. Johns County",Standing,F,N
2010-08-11,USA,North Carolina,"Emerald Isle, Carteret County",Swimming ,M,Unknown
2010-08-10,USA,Florida,Florida Keys,Attempting to illegally enter the USA,M,Unknown
2010-08-01,TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam",Swimming,Unknown,Y
2010-09-08,REUNION,Saint-Pierre,Pic du Diable ,Surfing,M,N
2010-09-24,AUSTRALIA,South Australia,Cactus Beach near Penong,Surfing,M,Y
2010-11-18,USA,Florida,"Bonita Springs, Lee County",Swimming,M,N
2010-09-29,USA,California,"Mavericks, Half Moon Bay, San Mateo County",Sitting on surfboard,M,N
2010-07-25,USA,Florida,"New Smyrna Beach, Volusia County",Unknown,M,N
2010-12-24,AUSTRALIA,Queensland,Flinders Cay,Scuba diving,M,N
2010-12-12,FIJI,Taveuni,Garden Island Resort,Swimming back from anchored sailboat,M,Y
2010-12-11,AUSTRALIA,South Australia,"3 km off Port Victoria, Yorke Peninsula",Fishing for whiting,Unknown,N
2010-12-05,CANADA,New Brunswick,Bay of Fundy,Diving for sea urchins,M,N
2010-12-03,AUSTRALIA,Queensland,"Sykes Reef, Great Barrier Reef",Spearfishing,M,N
2010-12-01,NEW ZEALAND,Cook Islands,"Arorangi, Rarotonga",Surfing,F,Y
2010-11-21,AUSTRALIA,Queensland,Orpheus Island,Diving (shell maintenance),M,N
2010-11-20,AUSTRALIA,South Australia,Ceduna,Shipwrecked,M,Unknown
2010-11-10,USA,Florida,"Vaughn Beach, Flagler County",Walking,F,Unknown
2010-11-06,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,N
2010-11-06,AUSTRALIA,Western Australia,"Cottesloe Beach, Perth",Swimming,M,Y
2010-11-04,USA,California,"1/4 to 1/2 m north of the jetty at Bunkers, Eureka, Humboldt County",Surfing,M,N
2010-10-29,AUSTRALIA,Queensland,Peel Island,Fishing ,Unknown,N
2010-10-20,USA,Florida,"Fort Pierce Inlet State Park, St Lucie County",Surfing,M,N
2010-10-18,USA,Hawaii,Olowalu,Swimming / snorkeling,F,N
2010-10-14,USA,Florida,"South Beach, Sebastian, Indian River County",Swimming,M,N
2010-10-09,USA,Florida,"Lake Worth Inlet/West Palm Beach, Palm Beach County",Surfing,M,N
2010-10-06,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2010-10-06,USA,Florida,"New Smyrna Beach, Volusia County",Body surfing,M,N
2010-10-02,USA,North Carolina,"Wrightsville Beach, New Hanover County",Surfing,M,N
2010-09-25,AUSTRALIA,South Australia,"Black Point, Eyre Peninsula",Surfing,M,Y
2010-07-22,USA,Florida,"Big Pine Key, Monroe County ",Snorkeling,F,N
2010-05-07,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Standing,M,N
2010-07-16,USA,North Carolina,"Holden Beach, Brunswick County",Surfing,M,N
2010-04-14,USA,Florida,"On the south side of Ponce Inlet, Volusia County",Walking,M,N
2010-04-09,USA,Florida,"Municipal Beach, Riviera Beach, Palm Beach County",Boogie boarding / wading,M,N
2010-03-31,USA,Florida,Santa Rosa Sound Escambia County,Fishing,M,N
2010-03-30,AUSTRALIA,Queensland,"Main Beach, Gold Coast",Swimming,M,N
2010-03-26,USA,Florida,"Juno Beach, Palm Beach County",Boogie boarding,F,N
2010-03-24,USA,Florida,"Floridana Beach, Brevard County",Surfing,M,N
2010-03-15,NEW CALEDONIA,North Province,Poum,Spearfishing,M,Y
2010-03-14,AUSTRALIA,New South Wales,"McMasters Beach, Central Coast",Surfing,M,N
2010-03-10,AUSTRALIA,New South Wales,Parramatta River,Rowing,Unknown,N
2010-03-09,AUSTRALIA,New South Wales,Parramatta River,Rowing,Unknown,N
2010-03-03,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,Kayaking,M,Unknown
2010-03-02,AUSTRALIA,New South Wales,"Taronga Wharf, Athol Bay, Sydney Harbor",Swimming,M,N
2010-03-01,USA,Louisiana,Midnight Lump (38 miles offshore),Spearfishing,M,N
2010-02-21,USA,Florida,"Riviera Beach, Palm Beach County",Unknown,M,N
2010-02-19,SOUTH AFRICA,Western Cape Province,Struis Bay,Body surfing,M,N
2010-02-14,ENGLAND,Worcestershire,The Fountain Pub in Tenbury Wells,Feeding prawns to captive sharks,M,N
2010-02-03,NEW ZEALAND,South Island,Oreti Beach (reported as the 4th person bitten in NZ in 2000),Surfing,M,N
2010-02-01,AUSTRALIA,South Australia,"Point Sinclair, Cactus Beach near Penong",Surfing,M,N
2010-01-28,REUNION,Unknown,Saint Pierre,Canoe with 3 men onboard sank,M,Y
2010-01-05,THAILAND,Phang nga Province,Phang nga Island,Diving,M,Y
2010-07-17,USA,North Carolina,"Oceanic Pier, Wrightsville Beach, New Hanover County",Surfing,M,N
2010-05-07,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Diving,M,Y
2010-05-09,AUSTRALIA,Victoria,"Koonya Beach, Melbourne",Unknown,Unknown,Unknown
2010-01-01,USA,Florida,"Boca Grande, Lee County",Fishing for tarpon,M,N
2010-06-01,TANZANIA,Unknown,"Coco Beach in Oyster Bay, 7 km north of Dar-es-Salaam",Swimming,M,Y
2010-05-13,NEW CALEDONIA,South Province,Mont Dore,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",Unknown,Y
2010-07-15,SOUTH AFRICA,Eastern Cape Province,Cape Recife,Surfing,M,N
2010-07-15,SOUTH AFRICA,KwaZulu-Natal,South of Durban,Surfing,M,N
2010-07-12, TONGA,Minerva Reef,Treated at Nuku-alofa,Scuba diving,M,N
2010-07-10,USA,Florida,"Daytona  Beach, Volusia County",Wading,M,N
2010-07-09,USA,Florida,"Neptune Avenue, Ormond Beach, Volusia County",Swimming ,M,N
2010-07-07,USA,Texas,"Mustang Island, Corpus Christi",Jumping,M,N
2010-07-06,USA,North Carolina,"Pine Island, Corolla, Currituck County",Playing,F,N
2010-07-04,USA,Florida,"Daytona Beach, Volusia County",Wading,F,N
2010-07-04,USA,Florida,"Artifical reef 3 miles off Manatee Beach, Manatee County","Spearfishing, holding mesh bag with speared fish",F,N
2010-07-16,SOUTH AFRICA,Eastern Cape Province,"Nahoon, East London",Surfing,M,N
2010-07-02,USA,Florida,"Smyrna Dunes Park, New Smyrna Beach, Volusia County",Standing,F,N
2010-07-01,TANZANIA,Unknown,"Coco Beach, Dar-es-Salaam",Swimming,Unknown,Y
2010-06-30,PAPUA NEW GUINEA,Madang Province,"Long Island near Madang, about 500 km (310 miles) north of the South Pacific nation's capital of Port Moresby",Unknown,M,Y
2010-06-29,NEW ZEALAND,North Island,"Papamoa Beach, Bay of Plenty",Fishing,M,N
2010-06-19,USA,Florida,"Seminole Avenue, Ormond Beach, Volusia County",Standing,M,N
2010-06-13,USA,Florida,"Pensacola Bay, Escambia County",Sailing,Unknown,N
2010-06-10,USA,Texas,"J.P. Luby Surf Park, Corpus Christi",Surfing,M,N
2010-06-09,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,N
2010-06-09,USA,Alabama,"Gulf Shores, Baldwin County",Swimming ,M,N
2010-06-02,USA,Florida,"27th Avenue, New Smyrna Beach, Volusia County",Snorkeling,M,N
2010-07-02,USA,Florida,"Smyrna Dunes  Park, New Smyrna Beach, Volusia County",Wading,F,N
2011-08-18,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-08-19,USA,Florida,"Wilbur-by-the-Sea, Volusia County",Surfing,F,N
2011-08-19,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,N
2011-08-26,USA,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,M,N
2011-08-21,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-08-22,USA,Florida,"Daytona, Volusia County ",Surfing,M,N
2011-08-25,USA,Florida,"New Smyrna Beach, Volusia County",Boogie Boarding,M,N
2011-08-19,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-08-18,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-08-04,BAHAMAS,Grand Bahama Island,Freeport,Swimming,M,N
2011-08-16,BAHAMAS,Grand Bahama Island,"High Rock, 25 to 30 miles east of Freeport",Spearfishing,M,N
2011-08-12,THAILAND,Rayong Province,Laem Mae Pim Beach,Fell off banana boat,M,N
2011-08-05,USA,South Carolina,"Near 70th Avenue, Myrtle Beach, Horry County",Unknown,F,N
2011-08-03,ITALY,Unknown,Rimini,Fishing,Unknown,N
2011-07-26,USA,South Carolina,"Myrtle Beach, Horry County",Unknown,F,N
2011-07-25,USA,Florida,"Taverniier, Monroe County",Unknown,M,N
2011-07-24,USA,Florida,"Marathon , Monroe County",Unknown,F,N
2011-07-21,USA,Massachusetts,Chatham Island,Fishing,Unknown,N
2011-08-27,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,N
2011-08-18,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-08-29,USA,Florida,"Coquina Beach, Anna Maria Island, Manatee County",Standing,F,N
2011-09-15,USA,Florida,A quarter mile north of Fort Pierce Inlet,Boogie boarding,M,N
2011-09-01,USA,Virginia,"Sandbridge Beach, Princess Anne County",Swimming ,M,Y
2011-12-21,AUSTRALIA,Western Australia,"Honeycombs, 250 km south of Perth",Surfing,M,N
2011-11-23,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,M,N
2011-11-14,USA,Hawaii,"Kapalua, Maui",Surfing,Unknown,N
2011-11-07,AUSTRALIA,Western Australia,"Leighton Beach, south of North Cottesloe",Surf-skiing,M,Unknown
2011-10-07,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,Kite-Boarding,M,N
2011-10-02,AUSTRALIA,Queensland,200 miles offshore,Snorkeling,F,N
2011-09-30,MEXICO,Guerrero,Ixtapa,Body surfing,M,N
2011-09-30,AUSTRALIA,Queensland,"Moreton Bay, NE of Brisbane ",Unknown,M,N
2011-09-24,USA,Florida,"Ponce Inlet, Volusia County","Surfing, fell off surfboard & stepped on the shark.",M,N
2011-08-31,BAHAMAS,Abaco Islands,North of Grand Cay,Spearfishing,M,N
2011-09-18,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-09-15,USA,North Carolina,"North Topsail Beach, Onslow County",Surfing,M,N
2011-09-13,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,N
2011-09-08,USA,Florida,"Everglades National Park, Monroe County",Fishing,M,N
2011-09-07,USA,Florida,"Key Biscayne, Dade County",Walking in shallows,M,N
2011-07-15,USA,Florida,"Santa Rosa Island, Escambia County",Surfing,M,N
2011-09-07,USA,South Carolina,"Waites Island, Horry County",Swimming,F,N
2011-09-03,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming ,M,Y
2011-09-03,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Swimming,F,N
2011-09-02,USA,Florida,"Mayport Naval Station, Jacksonville, Duval Country",Wading,M,N
2011-09-16,USA,Florida,"2 miles off Pompano Beach, Broward County",Wreck / Technical diving,M,Y
2011-07-15,USA,Florida,"Amelia Island, Nassau County",Boogie boarding,M,N
2011-04-08,AUSTRALIA,New South Wales,Bronte Beach,Snorkeling,M,N
2011-07-06,USA,Florida,Gulf Islands National Seashore,Swimming,M,N
2011-04-11,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,N
2011-04-11,USA,Hawaii,"Ewa Beach, O'ahu",Surfing,M,N
2011-04-10,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Unknown,N
2011-04-08,SOUTH AFRICA,Eastern Cape Province,Cape St. Francis,Surfing,M,N
2011-04-05,USA,Florida,"Bethune Beach, south of New Smyrna Beach, Volusia County",Standing alongside surfboard,M,N
2011-04-02,BRAZIL,Rio Grande de Norte,"Praia de Camapum, Macau",Batin,F,N
2011-04-02,AUSTRALIA,New South Wales,Nambucca River Entrance,Surfing,M,N
2011-03-23,USA,Hawaii,"Sandy Beach, Oahu",Body-boarding,M,N
2011-03-09,USA,Florida,"Coral Cove Park, Jupiter Island, Martin County",Surfing,M,N
2011-04-11,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-03-08,BRAZIL,Bahia,Nova Vicosa,Attempting to catch a crocodile,M,Unknown
2011-03-01,CARIBBEAN SEA,Unknown,Between St. Maarten & Anguilla,Sinking of the 40' Esperanza off St. Maartin with 36 refugees on board,Unknown,Y
2011-02-26,AUSTRALIA,Western Australia,Albany (incident took place 200 metres from swimmers),Fishing for whiting,Unknown,N
2011-02-11,MALAYSIA,Off the western coast of peninsular Malaysia,Pulau Pangkor (Pangkor Island),Unknown,F,Unknown
2011-02-04,AUSTRALIA,New South Wales,Broome Head,Surfing,M,N
2011-01-24,AUSTRALIA,New South Wales,South West Rocks,Kayaking,M,N
2011-01-24,CUBA,Holquin Province,Off Blau Costa Verde resort,Swimming,F,N
2011-01-21,AUSTRALIA,South Australia,Adelaide,Fishing,Unknown,N
2011-01-09,USA,California,"Sunset Cliffs, San Diego",Surfing,M,N
2011-07-06,MEXICO,Baja California,Ensenada,Surfing,M,N
2011-03-03,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,Y
2011-04-12,USA,Florida,"New Smyrna Beach / Waveland, Volusia County",Surfing,M,N
2011-01-06,NEW ZEALAND,North Island,Sandy Bay/Whananaki,Kayaking,M,N
2011-04-12,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-07-03,USA,South Carolina,"Isle of Palms, Charleston County ",Unknown,Unknown,N
2011-07-01,USA,Georgia,"Jekyll Island, Glynn County",Floating face-down in knee-deep water,M,N
2011-06-12,USA,Texas,Padre Island National Seashore,Swimming,M,N
2011-06-10,USA,California,Catalina Island,Spearfishing,M,N
2011-06-09,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),Hiking on the beach,M,Unknown
2011-06-03,USA,South Carolina,"Off 21st Avenue, Isle of Palms, Charleston County",Wading,F,N
2011-04-12,USA,Florida,"New Smyrna Beach, Volusia County",Body boarding,M,N
2011-05-23,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,M,N
2011-05-20,USA,South Carolina,"Fripp Island, Beaufort County",Swimming,M,N
2011-05-18,PHILIPPINES,Zamboanga del Sur Province,Unknown,Shark fishing,M,N
2011-05-29,USA,Texas,Galveston Island,Unknown,M,N
2011-05-08,SOUTH AFRICA,Eastern Cape Province,East London,Surfing,M,N
2011-05-04,AUSTRALIA,New South Wales,Noraville,Surfing,M,N
2011-05-03,USA,Florida,"Jacksonville, Duval County",Surfing,M,N
2011-05-01,FIJI,Taveuni,Unknown,"Spearfishing, carrying his catch",M,Y
2011-04-28,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,N
2011-04-13,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-04-13,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2011-04-12,USA,Florida,"Waveland Beach, Hutchinson Island, St Lucie County",Unknown,M,N
2011-05-11,MADAGASCAR,Unknown,Shipwrecked Ferry M/V Samsonnette,Unknown,M,Unknown
2011-04-12,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-09-09,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Boogie boarding,M,N
2012-09-13,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Surf skiing,M,N
2012-09-16,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,Unknown,N
2012-09-27,TONGA,Vava'u,Swimming with humpback whales,Swimming,M,N
2012-09-21,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,N
2012-09-21,USA,Oregon,Cape Kiwanda,Boogie boarding or Surfing,M,N
2012-09-16,BRAZIL,Pernambuco,"Piedade Beach, Jaboat�o dos Guararapes City",Swimming,M,N
2012-09-05,USA,Florida,"Daytona Beach Shores, Volusia County","Wading, when he stepped on the shark",M,N
2012-07-10,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N
2012-08-17,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,N
2012-08-14,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-08-11,USA,Florida,"Vero Beach, Indian River County",Surfing,M,N
2012-08-07,USA,Florida,"Ponce De Leon Inlet, Volusia County",Standing,M,N
2012-08-06,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,N
2012-08-05,USA,North Carolina,"Topsail Beach, Pender County",Standing,M,N
2012-07-26,USA,South Carolina,"Myrtle Beach, Horry County",Surfing,M,N
2012-07-20,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,N
2012-09-27,USA,Florida,"Key Largo, Monroe County",Fishing,M,N
2012-08-28,USA,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,M,N
2012-09-27,USA,Hawaii,"Kahala, O'ahu",Fishing from Surfboard,M,N
2012-11-11,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N
2012-09-30,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,N
2012-07-09,USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",Shark Fishing,M,Y
2012-12-29,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,N
2012-12-24,SOUTH AFRICA,Western Cape Province,Scarborough,Snorkeling,M,N
2012-12-21,AUSTRALIA,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Scuba diving,M,N
2012-12-20,AUSTRALIA,Queensland,Golden Beach,Swimming,M,Unknown
2012-12-16,AUSTRALIA,Queensland,Miami Lake,Swimming,M,Y
2012-12-01,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,Y
2012-11-28,MICRONESIA,Caroline Islands,"Pision Reef, Truk",Scuba diving,M,N
2012-11-28,USA,California,"Salmon Creek, Sonoma County",Body boarding,M,N
2012-11-17,USA,Hawaii,Ka'anapali,Swimming,F,N
2012-11-14,TURKS & CAICOS,Caicos Bank,French Cay,Snorkeling,F,N
2012-11-02,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,N
2012-11-01,FRENCH POLYNESIA,Society Islands,Tetiaroa,"Fishing, standing in 2' of water",M,N
2012-10-30,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,N
2012-10-14,BRAZIL,Pernambuco,"Piedade Beach, Jaboat�o dos Guararapes City, Recife",Swimming,M,Y
2012-10-11,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,N
2012-10-05,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-10-05,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-10-03,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-09-29,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,N
2012-07-09,BRAZIL,Pernambuco,"Piedade Beach, Recife",Surfing,M,N
2012-07-04,USA,North Carolina,"Wrightsville Beach, New Hanover County",Standing,F,N
2012-06-20,AUSTRALIA,Queensland,Sunshine Beach,Surfing,M,N
2012-04-09,BAHAMAS,Abaco Islands,Walkers Cay,Standing,M,N
2012-04-02,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,N
2012-04-01,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming / Wading,M,N
2012-03-25,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",Body-boarding,M,N
2012-03-25,USA,Florida,"Cocoa Beach, Brevard County",Wading,F,N
2012-03-24,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,Y
2012-03-19,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming /  boogie boarding,M,N
2012-03-15,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,M,N
2012-03-03,NEW CALEDONIA,Loyalty Islands,Lifou,Spearfishing,M,Unknown
2012-02-23,TURKS & CAICOS,Unknown,Unknown,Capsized fishing boat,M,Y
2012-02-16,AUSTRALIA,Queensland,Sunshine Beach,Surfing,M,N
2012-02-11,FIJI,Cikobia Island (north of Vanua Levu),Unknown,Unknown,M,Y
2012-02-07,AUSTRALIA,New South Wales,Paramatta River (near Sydney),Kayaking,M,N
2012-01-30,AUSTRALIA,New South Wales,Just north of Fingal Spit,Surfing,M,N
2012-01-30,AUSTRALIA,Western Australia,Collie River ,Swimming,M,N
2012-01-04,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,Fishing,M,N
2012-01-03,BRAZIL,Pernambuco,Candeias,Swimming,Unknown,Y
2012-01-01,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Surf skiing,M,N
2012-01-01,USA,Hawaii,"Olowalu, Maui",Snorkeling,M,N
2012-04-12,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",Swimming,M,N
2012-04-18,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-03-15,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N
2012-04-21,AUSTRALIA,New South Wales,26 nautical miles out to sea off Lake Macquarie,Fishing (Drowned 2-Apr-2002),M,Unknown
2012-06-20,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,N
2012-04-20,USA,Florida,"St. Augustine Beach, St. Johns County","Surfing, but standing in water alongside board",M,N
2012-06-16,INDONESIA,Unknown,"Shark caught in Indonesia, offloaded to trawler that docked at Samut Prakan, 20 miles south of Bangkok, Thailand",Unknown,Unknown,Unknown
2012-06-13,PAPUA NEW GUINEA,Louisiade Archipelago,"Brooker Island , Calvados Chain",Unknown,Unknown,N
2012-06-13,PAPUA NEW GUINEA,Louisiade Archipelago,"Gawa Reefs, Sudest Island",Attempting to retreive a dinghy,Unknown,Y
2012-06-11,USA,Hawaii,"Anini Beach, Kaua'i",Sitting on surfboard,Unknown,N
2012-06-11,USA,Florida,"St Augustine Beach, St Johns County",Surfing,M,N
2012-06-09,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,N
