attack_date,Country,Area,Location,Activity,Gender,Fatal_Y/N
1961-10-09,USA,Florida,"Ocean Ridge, Boca Raton, Palm Beach County",Swimming,M,Unknown
1961-05-07,AUSTRALIA,Western Australia,"Quinn�s Rocks, south of Yanchep",Spearfishing,M,N
1961-02-01,AUSTRALIA,Western Australia,Carnac Island,Collecting crayfish,M,N
1961-04-25,AUSTRALIA,New South Wales,"Trial Bay, north of Kempsey",Spearfishing,M,N
1961-02-01,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,M,Y
1961-02-01,USA,California,"Topanga Canyon Beach, Santa Monica Bay",Unknown,M,Unknown
1961-01-25,SOUTH AFRICA,Western Cape Province,Frikkies Bay,Fishing for kob,Unknown,N
1961-01-22,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,Swimming,M,N
1961-01-15,AUSTRALIA,New South Wales,Cook Island,Collecting aquarium specimens,M,N
1961-01-06,ATLANTIC OCEAN,9.35N 79.35W,"East of La Grande Island, North of Panama Canal",Pacific Seafarer of US Navy,Unknown,Y
1961-01-06,AUSTRALIA,Northern Territory,"Stokes Hill Wharf, Darwin",Fishing,M,N
1961-01-05,MOZAMBIQUE,Limpopo River,190 km to 240 km from the sea,Swimming,M,N
1961-01-03,SOUTH AFRICA,Western Cape Province,Strandfontein,Standing,M,N
1961-01-03,SOUTH AFRICA,KwaZulu-Natal,Palm Beach,Unknown,Unknown,Unknown
1961-01-02,AUSTRALIA,Tasmania,Off Tasman Island,Ocean racing,Unknown,N
1961-01-01,AUSTRALIA,New South Wales,South coast,Fishing for mackerel,Unknown,N
1961-01-01,COLUMBIA,Roncador Bank,"Roncador Bank, 135 nm north of San Andres ",Taking boat from California to Florida when it ran aground & he was swimming back to boat,M,N
1961-01-01,NEW CALEDONIA,Unknown,Unknown,Spearfishing,Unknown,N
1961-01-01,SENEGAL,Cap Vert Peninsula,Thiaroye Guedi,Free diving for molluscs,M,Y
1961-01-01,USA,Hawaii,Maui,Light aircraft ditched at sea,Unknown,Y
1961-04-30,USA,Florida,Palm Beach County,Splashing ,M,Unknown
1961-02-12,SOUTH AFRICA,Western Cape Province,Sea Point,"Spearfishing, shark grabbed his white t-shirt and towed him ",M,N
1961-02-16,JAMAICA,Unknown,Unknown,Unknown,M,Y
1961-01-06,SOUTH AFRICA,KwaZulu-Natal,Winkelspruit,Standing,M,N
1961-02-17,USA,Pennsylvania,"Fairmount Park Aquarium, Philadelphia",Cleaning a tank,M,N
1961-04-21,MOZAMBIQUE,Gaza,"Sepulveda Beach, Xai Xai",Swimming,M,N
1961-04-17,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth Oceanarium,Diving,M,N
1961-04-16,USA,Florida,"Fowey Rock Light, Miami",Spearfishing,M,N
1961-04-16,AUSTRALIA,New South Wales,Otford,Spearfishing,M,N
1961-04-14,AUSTRALIA,New South Wales,10 miles off Nambucca Heads  onboard trawler,"Checking fish traps, fell into the water",M,N
1961-04-09,MOZAMBIQUE,Gaza,Xai Xai,"Swimming, using bundles of sticks as raft",M,Y
1961-04-08,PERSIAN GULF,United Arab Emirates,Dubai,Cargo ship Dara sank after collision with another ship during a severe storm,Unknown,Y
1961-04-03,AUSTRALIA,Victoria,Flinders Island,Spearfishing,M,N
